id,task,context,query,distractor_count,expected_focus,difficulty,brain_zone,neural_analog
tagp_filter_0393,Selective Filtering,Trees have leaves. Water is wet. The weather is nice today. Cats are furry animals. The API key is sk_live_abc123xyz789. The sky is blue. Books have pages. Cars have wheels. I like pizza.,What is the API key?,13,sk_live_abc123xyz789,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0348,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_divided_0106,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,12,"5, 4",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_needle_0101,Adversarial Needle,Debug line 4: variable sum = 20 | Debug line 3: variable z = 15 | Debug line 1: variable x = 5 | Debug line 6: variable product = 30 | Debug line 5: ERROR: division by zero | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 7: variable diff = -5 | Debug line 2: variable y = 10 | Debug line 8: ERROR: null pointer,What is the REAL error message?,2,REAL_bug_buffer_overflow_0xdeadbeef,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_shift_0164,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,5,car,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0110,Selective Filtering,The meeting is at 3 PM. Critical: System failure in production. Immediate action required. Please send the report. Don't forget to call mom.,What is the critical message?,3,System failure in production,3.0,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0001,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,12,"3, 2",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_needle_0386,Adversarial Needle,The password is: admin456 | The password is: football | The password is: monkey123 | The password is: qwerty123 | The password is: hunter2 | The password is: password1 | The password is: 123456 | The password is: letmein789 | The password is: CORRECT_answ3r!XK9,What is the correct password?,2,CORRECT_answ3r!XK9,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_sustained_0195,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0317,Adversarial Needle,Debug line 2: variable y = 10 | Debug line 6: variable product = 30 | Debug line 5: ERROR: division by zero | Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 4: variable sum = 20 | Debug line 8: ERROR: null pointer | Debug line 3: variable z = 15 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef,What is the REAL error message?,3,REAL_bug_buffer_overflow_0xdeadbeef,9.6981,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_shift_0226,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,2,car,5.5051,colliculus,Colliculus FilterConfig.focus switching cost
tagp_shift_0018,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,4,car,17.3515,colliculus,Colliculus FilterConfig.focus switching cost
tagp_divided_0156,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,12,"5, 4",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_needle_0058,Adversarial Needle,The password is: football | The password is: 123456 | The password is: monkey123 | The password is: CORRECT_answ3r!XK9 | The password is: admin456 | The password is: hunter2 | The password is: password1 | The password is: letmein789 | The password is: qwerty123,What is the correct password?,5,CORRECT_answ3r!XK9,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_divided_0438,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,18,"5, 4",31.232700000000005,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0384,Selective Filtering,The API key is sk_live_abc123xyz789. The weather is nice today. Trees have leaves. I like pizza. Books have pages. The sky is blue. Water is wet. Cars have wheels. Cats are furry animals.,What is the API key?,21,sk_live_abc123xyz789,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_needle_0202,Adversarial Needle,The password is: letmein789 | The password is: qwerty123 | The password is: football | The password is: admin456 | The password is: 123456 | The password is: hunter2 | The password is: password1 | The password is: CORRECT_answ3r!XK9 | The password is: monkey123,What is the correct password?,3,CORRECT_answ3r!XK9,9.6981,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0055,Adversarial Needle,Debug line 8: ERROR: null pointer | Debug line 1: variable x = 5 | Debug line 6: variable product = 30 | Debug line 4: variable sum = 20 | Debug line 3: variable z = 15 | Debug line 2: variable y = 10 | Debug line 5: ERROR: division by zero | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 7: variable diff = -5,What is the REAL error message?,1,REAL_bug_buffer_overflow_0xdeadbeef,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_filter_0354,Selective Filtering,The weather is nice today. Cars have wheels. The sky is blue. The API key is sk_live_abc123xyz789. Books have pages. Water is wet. I like pizza. Trees have leaves. Cats are furry animals.,What is the API key?,21,sk_live_abc123xyz789,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0346,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,12,"5, 4",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_shift_0349,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,5,Item B,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_needle_0105,Adversarial Needle,Debug line 5: ERROR: division by zero | Debug line 2: variable y = 10 | Debug line 3: variable z = 15 | Debug line 6: variable product = 30 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 7: variable diff = -5 | Debug line 4: variable sum = 20 | Debug line 8: ERROR: null pointer | Debug line 1: variable x = 5,What is the REAL error message?,1,REAL_bug_buffer_overflow_0xdeadbeef,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_divided_0040,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,10,"5, 4",3.0,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_needle_0400,Adversarial Needle,The password is: letmein789 | The password is: hunter2 | The password is: CORRECT_answ3r!XK9 | The password is: monkey123 | The password is: admin456 | The password is: password1 | The password is: 123456 | The password is: qwerty123 | The password is: football,What is the correct password?,1,CORRECT_answ3r!XK9,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_shift_0311,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,2,Item B,5.5051,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0109,Selective Filtering,The error code is ERR_TIMEOUT_DB_CONNECTION. Ruby is elegant. Python is popular for AI. Java runs on JVM. Rust is fast and safe. C++ is low-level. PHP is for web development. JavaScript is a programming language. Go is good for concurrency.,What is the error code?,21,ERR_TIMEOUT_DB_CONNECTION,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0020,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,10,"5, 4",3.0,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0187,Selective Filtering,Java runs on JVM. Rust is fast and safe. C++ is low-level. JavaScript is a programming language. Ruby is elegant. Python is popular for AI. PHP is for web development. Go is good for concurrency. The error code is ERR_TIMEOUT_DB_CONNECTION.,What is the error code?,8,ERR_TIMEOUT_DB_CONNECTION,9.6981,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_shift_0142,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,3,car,9.6981,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0113,Selective Filtering,The meeting is at 3 PM. Don't forget to call mom. Buy groceries on the way home. The car needs oil change. Pay electricity bill. Doctor appointment on Friday. Please send the report. Renew library books. Critical: System failure in production. Immediate action required.,What is the critical message?,13,System failure in production,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0248,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0089,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,5,Item B,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_divided_0332,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,15,"5, 4",14.54715,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0412,Sustained Over Length,Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.,Which server runs the API?,8,Server B,9.6981,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0042,Sustained Over Length,Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.,Which server runs the API?,8,Server B,9.6981,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_divided_0017,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,15,"3, 2",14.54715,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0225,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0213,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0136,Adversarial Needle,The password is: password1 | The password is: football | The password is: letmein789 | The password is: hunter2 | The password is: CORRECT_answ3r!XK9 | The password is: admin456 | The password is: monkey123 | The password is: qwerty123 | The password is: 123456,What is the correct password?,2,CORRECT_answ3r!XK9,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0107,Adversarial Needle,Debug line 1: variable x = 5 | Debug line 2: variable y = 10 | Debug line 4: variable sum = 20 | Debug line 7: variable diff = -5 | Debug line 8: ERROR: null pointer | Debug line 5: ERROR: division by zero | Debug line 3: variable z = 15 | Debug line 6: variable product = 30 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef,What is the REAL error message?,3,REAL_bug_buffer_overflow_0xdeadbeef,9.6981,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_divided_0401,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,12,"3, 2",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0353,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0432,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,3,car,9.6981,colliculus,Colliculus FilterConfig.focus switching cost
tagp_shift_0409,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,5,Item B,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_needle_0181,Adversarial Needle,Debug line 6: variable product = 30 | Debug line 3: variable z = 15 | Debug line 2: variable y = 10 | Debug line 4: variable sum = 20 | Debug line 5: ERROR: division by zero | Debug line 1: variable x = 5 | Debug line 8: ERROR: null pointer | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 7: variable diff = -5,What is the REAL error message?,2,REAL_bug_buffer_overflow_0xdeadbeef,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0206,Adversarial Needle,The password is: monkey123 | The password is: letmein789 | The password is: password1 | The password is: hunter2 | The password is: 123456 | The password is: CORRECT_answ3r!XK9 | The password is: qwerty123 | The password is: football | The password is: admin456,What is the correct password?,2,CORRECT_answ3r!XK9,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0013,Adversarial Needle,Debug line 4: variable sum = 20 | Debug line 3: variable z = 15 | Debug line 6: variable product = 30 | Debug line 8: ERROR: null pointer | Debug line 2: variable y = 10 | Debug line 1: variable x = 5 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 5: ERROR: division by zero | Debug line 7: variable diff = -5,What is the REAL error message?,5,REAL_bug_buffer_overflow_0xdeadbeef,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_filter_0209,Selective Filtering,The meeting is at 3 PM. Critical: System failure in production. Immediate action required. Buy groceries on the way home. Don't forget to call mom. Doctor appointment on Friday. Please send the report. Pay electricity bill. The car needs oil change. Renew library books.,What is the critical message?,21,System failure in production,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0000,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0365,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,1,Item B,3.0,colliculus,Colliculus FilterConfig.focus switching cost
tagp_sustained_0109,Sustained Over Length,Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.,In which chapter does the hero lose hope?,21,Chapter 8,30.861,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0315,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,1,Item B,3.0,colliculus,Colliculus FilterConfig.focus switching cost
tagp_sustained_0345,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0213,Adversarial Needle,Debug line 5: ERROR: division by zero | Debug line 3: variable z = 15 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 6: variable product = 30 | Debug line 7: variable diff = -5 | Debug line 8: ERROR: null pointer | Debug line 4: variable sum = 20 | Debug line 2: variable y = 10 | Debug line 1: variable x = 5,What is the REAL error message?,5,REAL_bug_buffer_overflow_0xdeadbeef,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0104,Adversarial Needle,The password is: letmein789 | The password is: qwerty123 | The password is: hunter2 | The password is: admin456 | The password is: football | The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: monkey123 | The password is: 123456,What is the correct password?,8,CORRECT_answ3r!XK9,30.861,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_filter_0162,Selective Filtering,Books have pages. Water is wet. Cars have wheels. The sky is blue. Cats are furry animals. The API key is sk_live_abc123xyz789. I like pizza. The weather is nice today. Trees have leaves.,What is the API key?,8,sk_live_abc123xyz789,9.6981,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_filter_0009,Selective Filtering,The API key is sk_live_abc123xyz789. Books have pages. Cats are furry animals. Cars have wheels. I like pizza. Trees have leaves. The weather is nice today. The sky is blue. Water is wet.,What is the API key?,21,sk_live_abc123xyz789,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_shift_0104,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,5,car,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0054,Selective Filtering,Trees have leaves. Cats are furry animals. The weather is nice today. Water is wet. I like pizza. The sky is blue. Cars have wheels. The API key is sk_live_abc123xyz789. Books have pages.,What is the API key?,21,sk_live_abc123xyz789,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_filter_0177,Selective Filtering,Cats are furry animals. Trees have leaves. Books have pages. The sky is blue. The API key is sk_live_abc123xyz789. The weather is nice today. I like pizza. Water is wet. Cars have wheels.,What is the API key?,8,sk_live_abc123xyz789,9.6981,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_needle_0248,Adversarial Needle,The password is: password1 | The password is: letmein789 | The password is: hunter2 | The password is: admin456 | The password is: qwerty123 | The password is: football | The password is: CORRECT_answ3r!XK9 | The password is: monkey123 | The password is: 123456,What is the correct password?,5,CORRECT_answ3r!XK9,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_sustained_0240,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_filter_0264,Selective Filtering,Cars have wheels. Water is wet. The sky is blue. Books have pages. The API key is sk_live_abc123xyz789. Cats are furry animals. The weather is nice today. I like pizza. Trees have leaves.,What is the API key?,21,sk_live_abc123xyz789,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0089,Sustained Over Length,Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.,In which chapter does the hero lose hope?,21,Chapter 8,30.861,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0311,Sustained Over Length,The project started in January. Team Alpha was assigned to it. They completed phase 1 in February. Phase 2 took until March. The final deliverable was in April.,When was phase 2 completed?,5,March,5.5051,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0430,Adversarial Needle,The password is: hunter2 | The password is: monkey123 | The password is: football | The password is: password1 | The password is: qwerty123 | The password is: CORRECT_answ3r!XK9 | The password is: admin456 | The password is: letmein789 | The password is: 123456,What is the correct password?,1,CORRECT_answ3r!XK9,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0125,Adversarial Needle,Debug line 2: variable y = 10 | Debug line 1: variable x = 5 | Debug line 4: variable sum = 20 | Debug line 3: variable z = 15 | Debug line 7: variable diff = -5 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 6: variable product = 30 | Debug line 5: ERROR: division by zero | Debug line 8: ERROR: null pointer,What is the REAL error message?,1,REAL_bug_buffer_overflow_0xdeadbeef,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_sustained_0420,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0395,Adversarial Needle,Debug line 3: variable z = 15 | Debug line 4: variable sum = 20 | Debug line 6: variable product = 30 | Debug line 5: ERROR: division by zero | Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 2: variable y = 10 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 8: ERROR: null pointer,What is the REAL error message?,1,REAL_bug_buffer_overflow_0xdeadbeef,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_divided_0282,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,15,"5, 4",14.54715,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0170,Selective Filtering,Critical: System failure in production. Immediate action required. The meeting is at 3 PM. Don't forget to call mom. Please send the report.,What is the critical message?,3,System failure in production,3.0,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0397,Sustained Over Length,Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.,Which server runs the API?,8,Server B,9.6981,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0223,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_filter_0279,Selective Filtering,Cats are furry animals. Water is wet. The sky is blue. Trees have leaves. Cars have wheels. The API key is sk_live_abc123xyz789. Books have pages. I like pizza. The weather is nice today.,What is the API key?,21,sk_live_abc123xyz789,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0121,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,12,"3, 2",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0016,Selective Filtering,Go is good for concurrency. Python is popular for AI. JavaScript is a programming language. Rust is fast and safe. The error code is ERR_TIMEOUT_DB_CONNECTION. Java runs on JVM.,What is the error code?,5,ERR_TIMEOUT_DB_CONNECTION,5.5051,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0418,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0328,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0439,Sustained Over Length,Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.,In which chapter does the hero lose hope?,21,Chapter 8,30.861,reticular,Reticular system tracks cycle_latency_us for sustained alertness
