id,task,question,answer,ground_truth_confidence,difficulty,brain_zone,neural_analog
tmp_confidence_calibration_0345,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0346,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0347,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0348,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0349,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0350,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0351,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0352,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0353,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0354,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0355,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0356,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0357,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0358,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0359,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0360,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0361,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0362,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0363,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0364,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0365,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0366,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0367,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0368,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0369,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0370,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0371,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0372,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0373,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0374,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0375,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0376,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0377,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0378,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0379,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0380,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0381,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0382,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0383,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0384,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0385,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0386,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0387,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0388,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0389,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0390,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0391,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0392,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0393,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0394,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0395,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0396,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0397,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0398,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0399,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0400,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0401,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0402,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0403,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0404,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0405,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0406,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0407,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0408,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0409,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0410,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0411,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0412,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0413,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0414,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0415,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0416,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0417,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0418,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0419,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0420,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0421,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0422,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0423,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0424,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0425,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0426,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0427,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0428,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0429,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0430,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0431,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0432,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0433,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0434,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0435,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0436,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0437,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0438,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0439,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0440,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0441,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0442,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0443,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0444,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0445,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0446,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0447,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0448,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0449,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0450,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0451,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0452,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0453,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0454,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0455,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0456,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0457,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0458,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0459,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0460,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0461,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0462,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0463,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0464,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0465,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0466,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0467,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0468,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0469,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0470,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0471,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0472,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0473,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0474,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0475,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0476,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0477,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0478,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0479,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0480,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0481,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0482,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0483,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0484,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0485,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0486,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0487,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0488,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0489,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0490,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0491,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0492,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0493,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0494,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0495,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0496,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0497,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0498,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0499,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0500,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0501,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0502,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0503,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0504,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0505,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0506,Confidence Calibration,What is 2^20?,1048576,0.98,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0507,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,5.5051,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
