id,task,scenario,perspective,expected_inference,difficulty,brain_zone,neural_analog
tscp_neg_0174,Negotiation,International treaty: Country A reduces emissions 50% at high cost. Country B reduces 10% at low cost. Country C is developing and increases emissions. Climate impact: global but costs local.,Level 5 fairness reasoning,"A and B should reduce more, C gets allowance for development",154.305,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_tom_0197,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_aud_0233,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_prag_0251,Pragmatic Inference,"Utterance: 'I just love waiting in line for 3 hours.'
Context: Speaker looks frustrated and checks watch repeatedly.",Level 2 context cues,ironic,11.0102,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_neg_0250,Negotiation,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,Level 1 fairness reasoning,Fair compromise: both benefit,3.0,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_norm_0274,Implicit Social Norms,Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,Level 5 cultural awareness,Cultural competence: decode high-context communication,154.305,ofc,OFC social value system for cultural norm inference
tscp_norm_0315,Implicit Social Norms,Person enters elevator and sees another person inside.,Level 1 cultural awareness,Minimal acknowledgment expected,3.0,ofc,OFC social value system for cultural norm inference
tscp_aud_0321,Audience Adaptation,"Topic: How the internet works
Audience: Grandparent who never used computers
Required complexity: avoid jargon, use familiar comparisons",Level 2 adaptation,Internet is like a postal system for messages,11.0102,broca,Broca area adjusts complexity based on audience model
tscp_norm_0176,Implicit Social Norms,Guest arrives 15 minutes late to dinner party.,Level 2 cultural awareness,Apology appropriate in most Western contexts,11.0102,ofc,OFC social value system for cultural norm inference
tscp_aud_0213,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_neg_0057,Negotiation,Three siblings inherit $300K. Sibling A cared for parents for 5 years. Sibling B visited monthly. Sibling C lived abroad with no contact.,Level 3 fairness reasoning,Equitable split: A > B > C,29.0943,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_neg_0104,Negotiation,International treaty: Country A reduces emissions 50% at high cost. Country B reduces 10% at low cost. Country C is developing and increases emissions. Climate impact: global but costs local.,Level 5 fairness reasoning,"A and B should reduce more, C gets allowance for development",154.305,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0240,Audience Adaptation,"Topic: How a computer works
Audience: 5-year-old child
Required complexity: simple analogies, basic concepts",Level 1 adaptation,Computer is like a brain that follows instructions,3.0,broca,Broca area adjusts complexity based on audience model
tscp_prag_0144,Pragmatic Inference,"Utterance: 'Well, that went exactly as planned.'
Context: After a presentation where projector failed, laptop crashed, and speaker tripped on stage.",Level 5 context cues,sarcastic with multiple failure cues,154.305,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_aud_0184,Audience Adaptation,"Topic: Advanced machine learning
Audience: ML research conference
Required complexity: highly technical, current research, equations expected",Level 5 adaptation,"Assume deep knowledge, discuss cutting-edge techniques",154.305,broca,Broca area adjusts complexity based on audience model
tscp_aud_0298,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_tom_0110,Theory of Mind — False Belief,Sally puts a toy in a basket and leaves. Anne moves the toy to a box. Sally returns.,Level 1 perspective taking,basket (false belief),3.0,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0114,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_aud_0021,Audience Adaptation,"Topic: How the internet works
Audience: Grandparent who never used computers
Required complexity: avoid jargon, use familiar comparisons",Level 2 adaptation,Internet is like a postal system for messages,11.0102,broca,Broca area adjusts complexity based on audience model
tscp_prag_0235,Pragmatic Inference,"Utterance: 'Great weather for a picnic!'
Context: It's raining heavily outside.",Level 1 context cues,sarcastic,3.0,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_neg_0098,Negotiation,Startup: Founder A invested $100K and works full-time. Founder B invested $500K but doesn't work. Co-founder C joined with no investment but key technical skills.,Level 4 fairness reasoning,"Complex equity: B for money, A for work, C for skills",69.406,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0292,Audience Adaptation,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",Level 3 adaptation,"Emphasize security, transparency, efficiency",29.0943,broca,Broca area adjusts complexity based on audience model
tscp_neg_0086,Negotiation,Company offers employee $50K for role worth $70K market rate. Employee asks for $65K. Company says $55K final.,Level 2 fairness reasoning,Unfair: Company underpays relative to market,11.0102,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_prag_0037,Pragmatic Inference,"Utterance: 'Do you have the time?'
Context: Person approaches stranger on street.",Level 3 context cues,request for information,29.0943,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_aud_0358,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_norm_0225,Implicit Social Norms,Person enters elevator and sees another person inside.,Level 1 cultural awareness,Minimal acknowledgment expected,3.0,ofc,OFC social value system for cultural norm inference
tscp_norm_0079,Implicit Social Norms,Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,Level 5 cultural awareness,Cultural competence: decode high-context communication,154.305,ofc,OFC social value system for cultural norm inference
tscp_aud_0392,Audience Adaptation,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",Level 3 adaptation,"Emphasize security, transparency, efficiency",29.0943,broca,Broca area adjusts complexity based on audience model
tscp_aud_0222,Audience Adaptation,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",Level 3 adaptation,"Emphasize security, transparency, efficiency",29.0943,broca,Broca area adjusts complexity based on audience model
tscp_norm_0248,Implicit Social Norms,Business meeting in Japan. Foreign executive hands business card with one hand.,Level 4 cultural awareness,Two-handed exchange shows proper respect,69.406,ofc,OFC social value system for cultural norm inference
tscp_prag_0385,Pragmatic Inference,"Utterance: 'Great weather for a picnic!'
Context: It's raining heavily outside.",Level 1 context cues,sarcastic,3.0,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_neg_0050,Negotiation,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,Level 1 fairness reasoning,Fair compromise: both benefit,3.0,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_neg_0209,Negotiation,International treaty: Country A reduces emissions 50% at high cost. Country B reduces 10% at low cost. Country C is developing and increases emissions. Climate impact: global but costs local.,Level 5 fairness reasoning,"A and B should reduce more, C gets allowance for development",154.305,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0040,Audience Adaptation,"Topic: How a computer works
Audience: 5-year-old child
Required complexity: simple analogies, basic concepts",Level 1 adaptation,Computer is like a brain that follows instructions,3.0,broca,Broca area adjusts complexity based on audience model
tscp_norm_0049,Implicit Social Norms,Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,Level 5 cultural awareness,Cultural competence: decode high-context communication,154.305,ofc,OFC social value system for cultural norm inference
tscp_aud_0000,Audience Adaptation,"Topic: How a computer works
Audience: 5-year-old child
Required complexity: simple analogies, basic concepts",Level 1 adaptation,Computer is like a brain that follows instructions,3.0,broca,Broca area adjusts complexity based on audience model
tscp_norm_0360,Implicit Social Norms,Person enters elevator and sees another person inside.,Level 1 cultural awareness,Minimal acknowledgment expected,3.0,ofc,OFC social value system for cultural norm inference
tscp_aud_0291,Audience Adaptation,"Topic: How the internet works
Audience: Grandparent who never used computers
Required complexity: avoid jargon, use familiar comparisons",Level 2 adaptation,Internet is like a postal system for messages,11.0102,broca,Broca area adjusts complexity based on audience model
tscp_prag_0381,Pragmatic Inference,"Utterance: 'I just love waiting in line for 3 hours.'
Context: Speaker looks frustrated and checks watch repeatedly.",Level 2 context cues,ironic,11.0102,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_norm_0326,Implicit Social Norms,Guest arrives 15 minutes late to dinner party.,Level 2 cultural awareness,Apology appropriate in most Western contexts,11.0102,ofc,OFC social value system for cultural norm inference
tscp_neg_0388,Negotiation,Startup: Founder A invested $100K and works full-time. Founder B invested $500K but doesn't work. Co-founder C joined with no investment but key technical skills.,Level 4 fairness reasoning,"Complex equity: B for money, A for work, C for skills",69.406,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_tom_0123,Theory of Mind — False Belief,Manager assigns Task A to Developer X and Task B to Developer Y. Manager emails X about changes to Task A but forgets to email Y. X and Y discuss tasks; X mentions the changes to Y. Manager assumes Y knows about changes.,Level 4 perspective taking,"No, Manager is correct by coincidence (Y knows, but not from Manager)",69.406,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0322,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0267,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_norm_0252,Implicit Social Norms,Coworker's family member passed away. You see them at office.,Level 3 cultural awareness,"Brief sympathy, then give space",29.0943,ofc,OFC social value system for cultural norm inference
tscp_aud_0264,Audience Adaptation,"Topic: Advanced machine learning
Audience: ML research conference
Required complexity: highly technical, current research, equations expected",Level 5 adaptation,"Assume deep knowledge, discuss cutting-edge techniques",154.305,broca,Broca area adjusts complexity based on audience model
tscp_prag_0245,Pragmatic Inference,"Utterance: 'Great weather for a picnic!'
Context: It's raining heavily outside.",Level 1 context cues,sarcastic,3.0,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_norm_0162,Implicit Social Norms,Coworker's family member passed away. You see them at office.,Level 3 cultural awareness,"Brief sympathy, then give space",29.0943,ofc,OFC social value system for cultural norm inference
tscp_norm_0116,Implicit Social Norms,Guest arrives 15 minutes late to dinner party.,Level 2 cultural awareness,Apology appropriate in most Western contexts,11.0102,ofc,OFC social value system for cultural norm inference
tscp_norm_0406,Implicit Social Norms,Guest arrives 15 minutes late to dinner party.,Level 2 cultural awareness,Apology appropriate in most Western contexts,11.0102,ofc,OFC social value system for cultural norm inference
tscp_norm_0310,Implicit Social Norms,Person enters elevator and sees another person inside.,Level 1 cultural awareness,Minimal acknowledgment expected,3.0,ofc,OFC social value system for cultural norm inference
tscp_aud_0343,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_neg_0257,Negotiation,Three siblings inherit $300K. Sibling A cared for parents for 5 years. Sibling B visited monthly. Sibling C lived abroad with no contact.,Level 3 fairness reasoning,Equitable split: A > B > C,29.0943,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_tom_0010,Theory of Mind — False Belief,Sally puts a toy in a basket and leaves. Anne moves the toy to a box. Sally returns.,Level 1 perspective taking,basket (false belief),3.0,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0187,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_neg_0382,Negotiation,Three siblings inherit $300K. Sibling A cared for parents for 5 years. Sibling B visited monthly. Sibling C lived abroad with no contact.,Level 3 fairness reasoning,Equitable split: A > B > C,29.0943,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0018,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_prag_0017,Pragmatic Inference,"Utterance: 'Do you have the time?'
Context: Person approaches stranger on street.",Level 3 context cues,request for information,29.0943,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_tom_0129,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0365,Theory of Mind — False Belief,Sally puts a toy in a basket and leaves. Anne moves the toy to a box. Sally returns.,Level 1 perspective taking,basket (false belief),3.0,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_norm_0196,Implicit Social Norms,Guest arrives 15 minutes late to dinner party.,Level 2 cultural awareness,Apology appropriate in most Western contexts,11.0102,ofc,OFC social value system for cultural norm inference
tscp_aud_0077,Audience Adaptation,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",Level 3 adaptation,"Emphasize security, transparency, efficiency",29.0943,broca,Broca area adjusts complexity based on audience model
tscp_tom_0064,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0363,Theory of Mind — False Belief,Manager assigns Task A to Developer X and Task B to Developer Y. Manager emails X about changes to Task A but forgets to email Y. X and Y discuss tasks; X mentions the changes to Y. Manager assumes Y knows about changes.,Level 4 perspective taking,"No, Manager is correct by coincidence (Y knows, but not from Manager)",69.406,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_norm_0400,Implicit Social Norms,Person enters elevator and sees another person inside.,Level 1 cultural awareness,Minimal acknowledgment expected,3.0,ofc,OFC social value system for cultural norm inference
tscp_tom_0099,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_prag_0074,Pragmatic Inference,"Utterance: 'Well, that went exactly as planned.'
Context: After a presentation where projector failed, laptop crashed, and speaker tripped on stage.",Level 5 context cues,sarcastic with multiple failure cues,154.305,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_norm_0003,Implicit Social Norms,Business meeting in Japan. Foreign executive hands business card with one hand.,Level 4 cultural awareness,Two-handed exchange shows proper respect,69.406,ofc,OFC social value system for cultural norm inference
tscp_prag_0154,Pragmatic Inference,"Utterance: 'Well, that went exactly as planned.'
Context: After a presentation where projector failed, laptop crashed, and speaker tripped on stage.",Level 5 context cues,sarcastic with multiple failure cues,154.305,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_aud_0116,Audience Adaptation,"Topic: How the internet works
Audience: Grandparent who never used computers
Required complexity: avoid jargon, use familiar comparisons",Level 2 adaptation,Internet is like a postal system for messages,11.0102,broca,Broca area adjusts complexity based on audience model
tscp_aud_0064,Audience Adaptation,"Topic: Advanced machine learning
Audience: ML research conference
Required complexity: highly technical, current research, equations expected",Level 5 adaptation,"Assume deep knowledge, discuss cutting-edge techniques",154.305,broca,Broca area adjusts complexity based on audience model
tscp_tom_0419,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_neg_0354,Negotiation,International treaty: Country A reduces emissions 50% at high cost. Country B reduces 10% at low cost. Country C is developing and increases emissions. Climate impact: global but costs local.,Level 5 fairness reasoning,"A and B should reduce more, C gets allowance for development",154.305,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_tom_0421,Theory of Mind — False Belief,John puts his keys on the table and goes outside. Mary moves the keys to a drawer. John's friend tells him 'Mary moved your keys.' John doesn't know where Mary moved them.,Level 2 perspective taking,"Keys were moved, but John doesn't know where",11.0102,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_tom_0054,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_aud_0258,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_neg_0302,Negotiation,Three siblings inherit $300K. Sibling A cared for parents for 5 years. Sibling B visited monthly. Sibling C lived abroad with no contact.,Level 3 fairness reasoning,Equitable split: A > B > C,29.0943,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_neg_0369,Negotiation,International treaty: Country A reduces emissions 50% at high cost. Country B reduces 10% at low cost. Country C is developing and increases emissions. Climate impact: global but costs local.,Level 5 fairness reasoning,"A and B should reduce more, C gets allowance for development",154.305,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_tom_0222,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_neg_0421,Negotiation,Company offers employee $50K for role worth $70K market rate. Employee asks for $65K. Company says $55K final.,Level 2 fairness reasoning,Unfair: Company underpays relative to market,11.0102,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0112,Audience Adaptation,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",Level 3 adaptation,"Emphasize security, transparency, efficiency",29.0943,broca,Broca area adjusts complexity based on audience model
tscp_prag_0391,Pragmatic Inference,"Utterance: 'I just love waiting in line for 3 hours.'
Context: Speaker looks frustrated and checks watch repeatedly.",Level 2 context cues,ironic,11.0102,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_norm_0374,Implicit Social Norms,Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,Level 5 cultural awareness,Cultural competence: decode high-context communication,154.305,ofc,OFC social value system for cultural norm inference
tscp_aud_0218,Audience Adaptation,"Topic: Quantum computing
Audience: Physics undergraduate students
Required complexity: technical but accessible, use relevant analogies",Level 4 adaptation,"Discuss qubits, superposition, entanglement with some math",69.406,broca,Broca area adjusts complexity based on audience model
tscp_tom_0262,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_aud_0354,Audience Adaptation,"Topic: Advanced machine learning
Audience: ML research conference
Required complexity: highly technical, current research, equations expected",Level 5 adaptation,"Assume deep knowledge, discuss cutting-edge techniques",154.305,broca,Broca area adjusts complexity based on audience model
tscp_aud_0074,Audience Adaptation,"Topic: Advanced machine learning
Audience: ML research conference
Required complexity: highly technical, current research, equations expected",Level 5 adaptation,"Assume deep knowledge, discuss cutting-edge techniques",154.305,broca,Broca area adjusts complexity based on audience model
tscp_tom_0107,Theory of Mind — False Belief,Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,Level 3 perspective taking,5 PM (inherited Bob's false belief),29.0943,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_norm_0247,Implicit Social Norms,Coworker's family member passed away. You see them at office.,Level 3 cultural awareness,"Brief sympathy, then give space",29.0943,ofc,OFC social value system for cultural norm inference
tscp_norm_0319,Implicit Social Norms,Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,Level 5 cultural awareness,Cultural competence: decode high-context communication,154.305,ofc,OFC social value system for cultural norm inference
tscp_norm_0289,Implicit Social Norms,Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,Level 5 cultural awareness,Cultural competence: decode high-context communication,154.305,ofc,OFC social value system for cultural norm inference
tscp_tom_0083,Theory of Mind — False Belief,Manager assigns Task A to Developer X and Task B to Developer Y. Manager emails X about changes to Task A but forgets to email Y. X and Y discuss tasks; X mentions the changes to Y. Manager assumes Y knows about changes.,Level 4 perspective taking,"No, Manager is correct by coincidence (Y knows, but not from Manager)",69.406,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_norm_0283,Implicit Social Norms,Business meeting in Japan. Foreign executive hands business card with one hand.,Level 4 cultural awareness,Two-handed exchange shows proper respect,69.406,ofc,OFC social value system for cultural norm inference
tscp_prag_0340,Pragmatic Inference,"Utterance: 'Great weather for a picnic!'
Context: It's raining heavily outside.",Level 1 context cues,sarcastic,3.0,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_neg_0135,Negotiation,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,Level 1 fairness reasoning,Fair compromise: both benefit,3.0,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_prag_0302,Pragmatic Inference,"Utterance: 'Do you have the time?'
Context: Person approaches stranger on street.",Level 3 context cues,request for information,29.0943,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_neg_0422,Negotiation,Three siblings inherit $300K. Sibling A cared for parents for 5 years. Sibling B visited monthly. Sibling C lived abroad with no contact.,Level 3 fairness reasoning,Equitable split: A > B > C,29.0943,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_neg_0290,Negotiation,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,Level 1 fairness reasoning,Fair compromise: both benefit,3.0,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0192,Audience Adaptation,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",Level 3 adaptation,"Emphasize security, transparency, efficiency",29.0943,broca,Broca area adjusts complexity based on audience model
tscp_tom_0275,Theory of Mind — False Belief,Sally puts a toy in a basket and leaves. Anne moves the toy to a box. Sally returns.,Level 1 perspective taking,basket (false belief),3.0,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_neg_0080,Negotiation,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,Level 1 fairness reasoning,Fair compromise: both benefit,3.0,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_aud_0031,Audience Adaptation,"Topic: How the internet works
Audience: Grandparent who never used computers
Required complexity: avoid jargon, use familiar comparisons",Level 2 adaptation,Internet is like a postal system for messages,11.0102,broca,Broca area adjusts complexity based on audience model
tscp_aud_0435,Audience Adaptation,"Topic: How a computer works
Audience: 5-year-old child
Required complexity: simple analogies, basic concepts",Level 1 adaptation,Computer is like a brain that follows instructions,3.0,broca,Broca area adjusts complexity based on audience model
tscp_prag_0248,Pragmatic Inference,"Utterance: 'This soup is a bit spicy.'
Context: Diner at restaurant, soup is extremely hot, diner is coughing.",Level 4 context cues,understatement/litotes,69.406,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_neg_0111,Negotiation,Company offers employee $50K for role worth $70K market rate. Employee asks for $65K. Company says $55K final.,Level 2 fairness reasoning,Unfair: Company underpays relative to market,11.0102,ofc,OFC + HABENULA.detectUnfair() evaluates social fairness
tscp_norm_0263,Implicit Social Norms,Business meeting in Japan. Foreign executive hands business card with one hand.,Level 4 cultural awareness,Two-handed exchange shows proper respect,69.406,ofc,OFC social value system for cultural norm inference
tscp_norm_0256,Implicit Social Norms,Guest arrives 15 minutes late to dinner party.,Level 2 cultural awareness,Apology appropriate in most Western contexts,11.0102,ofc,OFC social value system for cultural norm inference
tscp_norm_0357,Implicit Social Norms,Coworker's family member passed away. You see them at office.,Level 3 cultural awareness,"Brief sympathy, then give space",29.0943,ofc,OFC social value system for cultural norm inference
tscp_tom_0309,Theory of Mind — False Belief,"In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.",Level 5 perspective taking,Only Manager 2. Manager 1 is misinformed due to vacation gap.,154.305,tom,TheoryOfMind.modelOther() simulates other agent's mental state
tscp_norm_0427,Implicit Social Norms,Coworker's family member passed away. You see them at office.,Level 3 cultural awareness,"Brief sympathy, then give space",29.0943,ofc,OFC social value system for cultural norm inference
tscp_prag_0070,Pragmatic Inference,"Utterance: 'Great weather for a picnic!'
Context: It's raining heavily outside.",Level 1 context cues,sarcastic,3.0,wernicke,"Wernicke area comprehends non-literal language (sarcasm, irony)"
tscp_tom_0043,Theory of Mind — False Belief,Manager assigns Task A to Developer X and Task B to Developer Y. Manager emails X about changes to Task A but forgets to email Y. X and Y discuss tasks; X mentions the changes to Y. Manager assumes Y knows about changes.,Level 4 perspective taking,"No, Manager is correct by coincidence (Y knows, but not from Manager)",69.406,tom,TheoryOfMind.modelOther() simulates other agent's mental state
