id,question_type,question,answer
tagp_needle_0351,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0183,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0039,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0353,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0196,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0174,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0013,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0298,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0308,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0434,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0278,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0036,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0114,factual,Which vehicle is fastest?,car
tagp_needle_0177,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0171,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0355,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0138,factual,Which vehicle is fastest?,car
tagp_sustained_0333,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0068,factual,Which vehicle is fastest?,car
tagp_divided_0120,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0025,factual,How did Alice pay?,cash
tagp_divided_0364,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0064,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0360,factual,Which vehicle is fastest?,car
tagp_filter_0392,factual,What is the critical message?,System failure in production
tagp_needle_0042,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0251,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0355,factual,Which item has better quality?,Item B
tagp_filter_0378,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0334,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0226,factual,When was phase 2 completed?,March
tagp_shift_0341,factual,Which item has better quality?,Item B
tagp_divided_0044,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0108,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0314,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0422,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0380,factual,What is the critical message?,System failure in production
tagp_sustained_0140,factual,How did Alice pay?,cash
tagp_shift_0023,factual,Which item has better quality?,Item B
tagp_divided_0047,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0066,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0356,factual,When was phase 2 completed?,March
tagp_divided_0077,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0394,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0326,factual,What is the critical message?,System failure in production
tagp_needle_0387,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0115,factual,How did Alice pay?,cash
tagp_shift_0425,factual,Which item has better quality?,Item B
tagp_filter_0316,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0114,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0092,factual,Which vehicle is fastest?,car
tagp_divided_0437,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0060,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0223,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0048,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0437,factual,Which server runs the API?,Server B
tagp_filter_0357,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0274,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0234,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0208,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0030,factual,Which vehicle is fastest?,car
tagp_divided_0291,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0060,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0046,factual,Which vehicle is fastest?,car
tagp_filter_0073,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0108,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0203,factual,Which item has better quality?,Item B
tagp_divided_0362,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0261,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0108,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0426,factual,Which vehicle is fastest?,car
tagp_filter_0374,factual,What is the critical message?,System failure in production
tagp_needle_0007,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0419,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0086,factual,What is the critical message?,System failure in production
tagp_divided_0237,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0197,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0167,factual,What is the critical message?,System failure in production
tagp_needle_0412,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0370,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0323,factual,Which item has better quality?,Item B
tagp_needle_0230,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0342,factual,Which vehicle is fastest?,car
tagp_sustained_0382,factual,Which server runs the API?,Server B
tagp_sustained_0166,factual,When was phase 2 completed?,March
tagp_shift_0189,factual,Which item has better quality?,Item B
tagp_needle_0249,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0324,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0020,factual,What is the critical message?,System failure in production
tagp_sustained_0402,factual,Which server runs the API?,Server B
tagp_needle_0356,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0043,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0063,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0102,factual,Which server runs the API?,Server B
tagp_divided_0076,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0027,factual,Which item has better quality?,Item B
tagp_sustained_0273,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0372,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0339,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0157,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0326,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0065,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0151,factual,Which item has better quality?,Item B
tagp_sustained_0104,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0422,factual,Which vehicle is fastest?,car
tagp_divided_0243,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0108,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0232,factual,Which server runs the API?,Server B
tagp_divided_0365,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0100,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0183,factual,Which item has better quality?,Item B
tagp_filter_0255,factual,What is the API key?,sk_live_abc123xyz789
tagp_shift_0250,factual,Which vehicle is fastest?,car
tagp_shift_0004,factual,Which vehicle is fastest?,car
tagp_divided_0221,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0069,factual,Which item has better quality?,Item B
tagp_filter_0055,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0314,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0363,factual,Which user was logged in at 09:25?,User 6
tagp_divided_0078,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0028,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0061,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0145,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0014,factual,What is the critical message?,System failure in production
tagp_shift_0024,factual,Which vehicle is fastest?,car
tagp_sustained_0004,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0264,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0160,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0269,factual,Which item has better quality?,Item B
tagp_needle_0328,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0431,factual,Which item has better quality?,Item B
tagp_sustained_0209,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_sustained_0131,factual,When was phase 2 completed?,March
tagp_sustained_0036,factual,When was phase 2 completed?,March
tagp_needle_0385,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0291,factual,When was phase 2 completed?,March
tagp_filter_0226,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0202,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0417,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0047,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0186,factual,Which vehicle is fastest?,car
tagp_needle_0161,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0098,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0067,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0259,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0022,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0285,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0270,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0245,factual,How did Alice pay?,cash
tagp_divided_0397,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0220,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0375,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0218,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0351,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0195,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0234,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0261,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0071,factual,When was phase 2 completed?,March
tagp_divided_0130,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0158,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0022,factual,Which server runs the API?,Server B
tagp_needle_0098,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0044,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0272,factual,Which vehicle is fastest?,car
tagp_shift_0013,factual,Which item has better quality?,Item B
tagp_shift_0034,factual,Which vehicle is fastest?,car
tagp_needle_0267,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0127,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0406,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0186,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0292,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0303,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0393,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0348,factual,Which user was logged in at 09:25?,User 6
tagp_divided_0106,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0101,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0164,factual,Which vehicle is fastest?,car
tagp_filter_0110,factual,What is the critical message?,System failure in production
tagp_divided_0001,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0386,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0195,factual,How did Alice pay?,cash
tagp_needle_0317,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0226,factual,Which vehicle is fastest?,car
tagp_shift_0018,factual,Which vehicle is fastest?,car
tagp_divided_0156,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0058,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0438,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0384,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0202,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0055,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0354,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0346,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0349,factual,Which item has better quality?,Item B
tagp_needle_0105,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0040,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0400,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0311,factual,Which item has better quality?,Item B
tagp_filter_0109,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0020,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0187,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0142,factual,Which vehicle is fastest?,car
tagp_filter_0113,factual,What is the critical message?,System failure in production
tagp_sustained_0248,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0089,factual,Which item has better quality?,Item B
tagp_divided_0332,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0412,factual,Which server runs the API?,Server B
tagp_sustained_0042,factual,Which server runs the API?,Server B
tagp_divided_0017,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0225,factual,How did Alice pay?,cash
tagp_sustained_0213,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0136,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0107,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0401,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0353,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0432,factual,Which vehicle is fastest?,car
tagp_shift_0409,factual,Which item has better quality?,Item B
tagp_needle_0181,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0206,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0013,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0209,factual,What is the critical message?,System failure in production
tagp_sustained_0000,factual,How did Alice pay?,cash
tagp_shift_0365,factual,Which item has better quality?,Item B
tagp_sustained_0109,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0315,factual,Which item has better quality?,Item B
tagp_sustained_0345,factual,How did Alice pay?,cash
tagp_needle_0213,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0104,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0162,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0009,factual,What is the API key?,sk_live_abc123xyz789
tagp_shift_0104,factual,Which vehicle is fastest?,car
tagp_filter_0054,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0177,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0248,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0240,factual,How did Alice pay?,cash
tagp_filter_0264,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0089,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_sustained_0311,factual,When was phase 2 completed?,March
tagp_needle_0430,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0125,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0420,factual,How did Alice pay?,cash
tagp_needle_0395,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0282,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0170,factual,What is the critical message?,System failure in production
tagp_sustained_0397,factual,Which server runs the API?,Server B
tagp_sustained_0223,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0279,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0121,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0016,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0418,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0328,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0439,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0058,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0422,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0393,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0200,factual,How did Alice pay?,cash
tagp_divided_0309,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0096,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0083,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0379,factual,Which item has better quality?,Item B
tagp_shift_0434,factual,Which vehicle is fastest?,car
tagp_sustained_0055,factual,How did Alice pay?,cash
tagp_sustained_0133,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0033,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0438,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0377,factual,What is the critical message?,System failure in production
tagp_sustained_0053,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0332,factual,What is the critical message?,System failure in production
tagp_sustained_0344,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0224,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0352,factual,Which vehicle is fastest?,car
tagp_sustained_0090,factual,How did Alice pay?,cash
tagp_shift_0208,factual,Which vehicle is fastest?,car
tagp_shift_0037,factual,Which item has better quality?,Item B
tagp_sustained_0268,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0021,factual,Which item has better quality?,Item B
tagp_shift_0043,factual,Which item has better quality?,Item B
tagp_sustained_0052,factual,Which server runs the API?,Server B
tagp_shift_0222,factual,Which vehicle is fastest?,car
tagp_divided_0035,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0289,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0306,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0009,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0288,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0384,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0017,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0195,factual,Which item has better quality?,Item B
tagp_shift_0209,factual,Which item has better quality?,Item B
tagp_filter_0281,factual,What is the critical message?,System failure in production
tagp_needle_0262,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0172,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0202,factual,Which server runs the API?,Server B
tagp_sustained_0380,factual,How did Alice pay?,cash
tagp_filter_0423,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0087,factual,Which server runs the API?,Server B
tagp_sustained_0059,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_sustained_0249,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0131,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0258,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0212,factual,What is the critical message?,System failure in production
tagp_divided_0201,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0047,factual,Which item has better quality?,Item B
tagp_filter_0046,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0147,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0419,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0165,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0232,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0100,factual,How did Alice pay?,cash
tagp_sustained_0424,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0150,factual,Which vehicle is fastest?,car
tagp_divided_0417,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0270,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0169,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0046,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0236,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0175,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0182,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0193,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0300,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0091,factual,Which item has better quality?,Item B
tagp_sustained_0149,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0220,factual,Which vehicle is fastest?,car
tagp_sustained_0405,factual,How did Alice pay?,cash
tagp_filter_0246,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0095,factual,What is the critical message?,System failure in production
tagp_shift_0119,factual,Which item has better quality?,Item B
tagp_sustained_0327,factual,Which server runs the API?,Server B
tagp_filter_0184,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0306,factual,When was phase 2 completed?,March
tagp_needle_0312,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0240,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0170,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0117,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0267,factual,Which server runs the API?,Server B
tagp_divided_0226,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0374,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0432,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0020,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0233,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0314,factual,Which vehicle is fastest?,car
tagp_divided_0210,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0191,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0336,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0266,factual,When was phase 2 completed?,March
tagp_divided_0104,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0289,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0373,factual,Which user was logged in at 09:25?,User 6
tagp_divided_0061,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0057,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0171,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0123,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0337,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0249,factual,Which item has better quality?,Item B
tagp_needle_0399,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0117,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0432,factual,Which server runs the API?,Server B
tagp_sustained_0409,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0252,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0136,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0329,factual,What is the critical message?,System failure in production
tagp_filter_0024,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0030,factual,How did Alice pay?,cash
tagp_sustained_0003,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0106,factual,When was phase 2 completed?,March
tagp_filter_0050,factual,What is the critical message?,System failure in production
tagp_divided_0038,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0162,factual,Which vehicle is fastest?,car
tagp_sustained_0193,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0049,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0199,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0420,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0285,factual,How did Alice pay?,cash
tagp_sustained_0292,factual,Which server runs the API?,Server B
tagp_filter_0263,factual,What is the critical message?,System failure in production
tagp_divided_0225,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0429,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0000,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0126,factual,When was phase 2 completed?,March
tagp_divided_0379,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0333,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0082,factual,Which vehicle is fastest?,car
tagp_shift_0166,factual,Which vehicle is fastest?,car
tagp_needle_0219,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0021,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0341,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0345,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0201,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0024,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0097,factual,Which item has better quality?,Item B
tagp_filter_0323,factual,What is the critical message?,System failure in production
tagp_needle_0075,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0033,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0266,factual,Which vehicle is fastest?,car
tagp_filter_0139,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0128,factual,Which vehicle is fastest?,car
tagp_needle_0393,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0036,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0425,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0310,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
